_unit_id,_created_at,_golden,_canary,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,is_the_category_correct_for_this_tweet,orig__canary,_last_judgment_at,_trusted_judgments,orig__unit_id,_unit_state,gold_answer,sentiment,tweet_id,tweet_text,what_emotion_does_the_author_express_specifically_about_the_weatherconfidence
315120690,8/24/2013 20:28:31,true,,1039503280,,8/24/2013 20:27:15,false,clixsense,0.9211,14353703,USA,IA,Cedar Rapids,50.83.144.205,Yes,,8/24/13 0:21,20,1,finalized,Yes,Positive,81990560,Grilling kabobs on the grill last night was amazing! I'm so glad this weather is finally  here.,0.8439
315120690,8/24/2013 20:46:29,true,,1039510175,,8/24/2013 20:45:14,false,clixsense,0.9888,6348036,USA,GA,Decatur,71.204.24.11,Yes,,8/24/13 0:21,20,1,finalized,Yes,Positive,81990560,Grilling kabobs on the grill last night was amazing! I'm so glad this weather is finally  here.,0.8439
315120690,8/24/2013 20:48:51,true,,1039511260,,8/24/2013 20:46:13,false,fusioncash,1.0,5917071,USA,NY,Bronx,67.83.166.249,Yes,,8/24/13 0:21,20,1,finalized,Yes,Positive,81990560,Grilling kabobs on the grill last night was amazing! I'm so glad this weather is finally  here.,0.8439
315120690,8/24/2013 20:52:18,true,,1039512439,,8/24/2013 20:51:18,false,clixsense,1.0,9040042,USA,PA,Coopersburg,70.15.32.175,Yes,,8/24/13 0:21,20,1,finalized,Yes,Positive,81990560,Grilling kabobs on the grill last night was amazing! I'm so glad this weather is finally  here.,0.8439
315120690,8/24/2013 20:55:11,true,,1039513504,,8/24/2013 20:53:48,false,bitcoinget,0.9423,17973927,USA,GA,Snellville,108.202.64.162,Yes,,8/24/13 0:21,20,1,finalized,Yes,Positive,81990560,Grilling kabobs on the grill last night was amazing! I'm so glad this weather is finally  here.,0.8439
315120690,8/24/2013 20:57:13,true,,1039514268,,8/24/2013 20:55:36,false,instagc,0.9853,16718271,USA,WA,Sammamish,98.225.18.75,Yes,,8/24/13 0:21,20,1,finalized,Yes,Positive,81990560,Grilling kabobs on the grill last night was amazing! I'm so glad this weather is finally  here.,0.8439
315120690,8/24/2013 21:01:01,true,,1039515622,,8/24/2013 20:59:40,false,amt,0.9444,7641500,USA,"","",108.39.131.243,Yes,,8/24/13 0:21,20,1,finalized,Yes,Positive,81990560,Grilling kabobs on the grill last night was amazing! I'm so glad this weather is finally  here.,0.8439
315120690,8/24/2013 21:06:36,true,,1039517443,,8/24/2013 21:03:42,false,neodev,1.0,19416362,USA,IL,Chicago,199.193.253.77,Yes,,8/24/13 0:21,20,1,finalized,Yes,Positive,81990560,Grilling kabobs on the grill last night was amazing! I'm so glad this weather is finally  here.,0.8439
315120690,8/24/2013 21:07:20,true,,1039517747,,8/24/2013 21:04:39,false,clixsense,0.9385,9289735,USA,IL,Chicago,69.210.248.238,Yes,,8/24/13 0:21,20,1,finalized,Yes,Positive,81990560,Grilling kabobs on the grill last night was amazing! I'm so glad this weather is finally  here.,0.8439
315120690,8/24/2013 21:10:17,true,,1039518812,,8/24/2013 21:09:07,false,instagc,1.0,13763729,USA,"","",70.208.69.217,Yes,,8/24/13 0:21,20,1,finalized,Yes,Positive,81990560,Grilling kabobs on the grill last night was amazing! I'm so glad this weather is finally  here.,0.8439
315120690,8/24/2013 21:13:44,true,,1039520140,,8/24/2013 21:08:34,false,fusioncash,0.9762,11919161,USA,TX,Arlington,173.175.200.245,Yes,,8/24/13 0:21,20,1,finalized,Yes,Positive,81990560,Grilling kabobs on the grill last night was amazing! I'm so glad this weather is finally  here.,0.8439
315120690,8/24/2013 21:15:16,true,,1039520689,,8/24/2013 21:13:11,false,prodege,0.9767,1950455,USA,CT,Stafford Springs,68.229.71.60,Yes,,8/24/13 0:21,20,1,finalized,Yes,Positive,81990560,Grilling kabobs on the grill last night was amazing! I'm so glad this weather is finally  here.,0.8439
315120690,8/24/2013 21:24:20,true,,1039523630,,8/24/2013 21:22:54,false,tremorgames,1.0,16788282,USA,OH,North Ridgeville,71.72.46.63,Yes,,8/24/13 0:21,20,1,finalized,Yes,Positive,81990560,Grilling kabobs on the grill last night was amazing! I'm so glad this weather is finally  here.,0.8439
315120690,8/24/2013 21:24:55,true,,1039523789,,8/24/2013 21:23:56,false,freeride,1.0,17740165,USA,IA,Davenport,50.82.177.142,Yes,,8/24/13 0:21,20,1,finalized,Yes,Positive,81990560,Grilling kabobs on the grill last night was amazing! I'm so glad this weather is finally  here.,0.8439
315120690,8/24/2013 21:26:41,true,,1039524373,,8/24/2013 21:26:14,false,prodege,0.9767,1950455,USA,CT,Stafford Springs,68.229.71.60,Yes,,8/24/13 0:21,20,1,finalized,Yes,Positive,81990560,Grilling kabobs on the grill last night was amazing! I'm so glad this weather is finally  here.,0.8439
315120690,8/24/2013 21:27:12,true,,1039524558,,8/24/2013 21:26:43,false,prodege,0.9767,1950455,USA,CT,Stafford Springs,68.229.71.60,Yes,,8/24/13 0:21,20,1,finalized,Yes,Positive,81990560,Grilling kabobs on the grill last night was amazing! I'm so glad this weather is finally  here.,0.8439
315120690,8/24/2013 21:30:24,true,,1039525547,,8/24/2013 21:14:51,false,pokerowned,0.9718,18442860,USA,CA,South Gate,76.168.67.143,Yes,,8/24/13 0:21,20,1,finalized,Yes,Positive,81990560,Grilling kabobs on the grill last night was amazing! I'm so glad this weather is finally  here.,0.8439
315120690,8/24/2013 21:30:31,true,,1039525572,,8/24/2013 21:27:54,false,prodege,0.9778,17730728,USA,MN,Center City,50.33.32.208,Yes,,8/24/13 0:21,20,1,finalized,Yes,Positive,81990560,Grilling kabobs on the grill last night was amazing! I'm so glad this weather is finally  here.,0.8439
315120690,8/24/2013 21:30:44,true,,1039525733,,8/24/2013 21:29:33,false,instagc,0.9853,16718271,USA,WA,Sammamish,98.225.18.75,Yes,,8/24/13 0:21,20,1,finalized,Yes,Positive,81990560,Grilling kabobs on the grill last night was amazing! I'm so glad this weather is finally  here.,0.8439
